,city_state,population,lat,lng
9730,"New York, NY",19354922.0,40.6943,-73.9249
14121,"Los Angeles, CA",12815475.0,34.1139,-118.4068
16289,"Chicago, IL",8675982.0,41.8373,-87.6862
2882,"Miami, FL",6381966.0,25.7839,-80.2102
4464,"Dallas, TX",5733259.0,32.7936,-96.7662
11154,"Philadelphia, PA",5637884.0,40.0077,-75.1339
5553,"Houston, TX",5446468.0,29.7869,-95.3905
697,"Washington, DC",5289420.0,38.9047,-77.0163
17464,"Atlanta, GA",5228750.0,33.7627,-84.4225
19203,"Boston, MA",4637537.0,42.3188,-71.0846
19443,"Phoenix, AZ",4081849.0,33.5722,-112.0891
106,"Seattle, WA",3643765.0,47.6211,-122.3244
13995,"San Francisco, CA",3603761.0,37.7562,-122.443
24912,"Detroit, MI",3522206.0,42.3834,-83.1024
12999,"San Diego, CA",3210314.0,32.8312,-117.1225
24417,"Minneapolis, MN",2926757.0,44.9635,-93.2678
2065,"Tampa, FL",2804240.0,27.9942,-82.4451
12400,"Denver, CO",2787266.0,39.7621,-104.8759
9496,"Brooklyn, NY",2629150.0,40.6501,-73.9496
9216,"Queens, NY",2333054.0,40.7498,-73.7976
20475,"Baltimore, MD",2170504.0,39.3051,-76.6144
14236,"Riverside, CA",2084749.0,33.9381,-117.3948
23638,"St. Louis, MO",2078283.0,38.6358,-90.2451
11731,"Las Vegas, NV",2073045.0,36.2333,-115.2654
28361,"Portland, OR",2052796.0,45.5371,-122.65
4576,"San Antonio, TX",2002530.0,29.4658,-98.5254
12957,"Sacramento, CA",1854698.0,38.5667,-121.4683
14283,"San Jose, CA",1821899.0,37.3021,-121.8489
2196,"Orlando, FL",1776841.0,28.4772,-81.3369
22568,"Cleveland, OH",1730363.0,41.4767,-81.6805
10478,"Pittsburgh, PA",1715297.0,40.4396,-79.9763
22002,"Cincinnati, OH",1648254.0,39.1412,-84.506
9308,"Manhattan, NY",1643734.0,40.7834,-73.9662
5600,"Austin, TX",1638716.0,30.3006,-97.7517
23117,"Kansas City, MO",1615621.0,39.1239,-94.5541
17945,"Indianapolis, IN",1564699.0,39.7771,-86.1458
21652,"Columbus, OH",1528314.0,39.986,-82.9851
12320,"Virginia Beach, VA",1480383.0,36.7335,-76.0435
7152,"Charlotte, NC",1467362.0,35.2079,-80.8304
9283,"Bronx, NY",1455720.0,40.8501,-73.8662
1150,"Milwaukee, WI",1377808.0,43.0642,-87.9673
11641,"Providence, RI",1206642.0,41.823,-71.4187
2646,"Jacksonville, FL",1156291.0,30.3322,-81.6749
22698,"Salt Lake City, UT",1098400.0,40.7774,-111.93
8671,"Nashville, TN",1076645.0,36.1715,-86.7843
8810,"Memphis, TN",1068873.0,35.1046,-89.9773
12233,"Richmond, VA",1059907.0,37.5295,-77.4756
5885,"New Orleans, LA",1029123.0,30.0687,-89.9288
6919,"Raleigh, NC",1018336.0,35.8324,-78.6438
27640,"Louisville, KY",1011696.0,38.1663,-85.6485
20983,"Oklahoma City, OK",955998.0,35.4676,-97.5137
20009,"Bridgeport, CT",938406.0,41.1918,-73.1953
9353,"Buffalo, NY",926261.0,42.9017,-78.8487
20060,"Hartford, CT",914751.0,41.7661,-72.6834
5800,"Fort Worth, TX",874168.0,32.7812,-97.3472
19436,"Tucson, AZ",868391.0,32.1545,-110.8782
4478,"El Paso, TX",845674.0,31.8479,-106.4309
1928,"Honolulu, HI",833671.0,21.3294,-157.846
8204,"Omaha, NE",827786.0,41.2628,-96.0498
4348,"McAllen, TX",800904.0,26.2273,-98.2471
3742,"Albuquerque, NM",758523.0,35.1053,-106.6464
14439,"Birmingham, AL",744189.0,33.5277,-86.7987
22131,"Dayton, OH",718169.0,39.7797,-84.1998
9493,"Rochester, NY",711998.0,43.168,-77.6162
2492,"Sarasota, FL",706245.0,27.3386,-82.543
14036,"Fresno, CA",698021.0,36.7831,-119.7941
10988,"Allentown, PA",682899.0,40.5961,-75.4755
21235,"Tulsa, OK",672054.0,36.1284,-95.9043
12949,"Concord, CA",654770.0,37.9722,-122.0016
2519,"Cape Coral, FL",630134.0,26.6445,-81.9955
19236,"Springfield, MA",628076.0,42.1155,-72.5395
12487,"Colorado Springs, CO",623946.0,38.8674,-104.7606
27330,"Charleston, SC",616085.0,32.8151,-79.963
25278,"Grand Rapids, MI",602694.0,42.9615,-85.6557
13138,"Mission Viejo, CA",600474.0,33.6095,-117.655
8899,"Albany, NY",597270.0,42.6664,-73.7987
8569,"Knoxville, TN",585249.0,35.9692,-83.9496
5942,"Baton Rouge, LA",583613.0,30.4419,-91.131
13984,"Bakersfield, CA",574362.0,35.353,-119.0359
22929,"Ogden, UT",573632.0,41.228,-111.9677
20096,"New Haven, CT",568144.0,41.3112,-72.9246
27561,"Columbia, SC",566166.0,34.0376,-80.9037
21498,"Akron, OH",565920.0,41.0798,-81.5219
22660,"Provo, UT",503695.0,40.2457,-111.6457
19241,"Worcester, MA",498997.0,42.2705,-71.8079
19354,"Mesa, AZ",496401.0,33.4017,-111.7181
2423,"Palm Bay, FL",489912.0,27.955,-80.6628
22161,"Toledo, OH",488672.0,41.6639,-83.5822
13897,"Murrieta, CA",483681.0,33.572,-117.1909
25976,"Wichita, KS",483057.0,37.6897,-97.3441
18352,"Des Moines, IA",481222.0,41.5725,-93.6105
9677,"Staten Island, NY",476015.0,40.5834,-74.1496
13639,"Long Beach, CA",469450.0,33.798,-118.1675
27411,"Greenville, SC",467894.0,34.8362,-82.3649
15048,"Little Rock, AR",442699.0,34.7255,-92.358
10252,"Harrisburg, PA",441580.0,40.2752,-76.8843
4490,"Denton, TX",440146.0,33.2176,-97.1419
1010,"Madison, WI",439553.0,43.0827,-89.3923
11708,"Reno, NV",433271.0,39.5497,-119.8483
2790,"Port St. Lucie, FL",432589.0,27.2796,-80.3884
14178,"Oakland, CA",425195.0,37.7903,-122.2165
7281,"Winston-Salem, NC",416581.0,36.1029,-80.261
12906,"Indio, CA",408097.0,33.7346,-116.2346
6883,"Durham, NC",407575.0,35.9795,-78.9032
8888,"Syracuse, NY",407259.0,43.0409,-76.1438
8656,"Chattanooga, TN",407182.0,35.0657,-85.2487
10834,"Lancaster, PA",404525.0,40.042,-76.3012
317,"Spokane, WA",403043.0,47.6671,-117.433
2714,"Palm Coast, FL",401757.0,29.5392,-81.246
5207,"Arlington, TX",396394.0,32.6998,-97.1251
2916,"Bonita Springs, FL",396220.0,26.3559,-81.7861
9429,"Poughkeepsie, NY",396041.0,41.6949,-73.921
13253,"Stockton, CA",394467.0,37.9766,-121.3111
13428,"Oxnard, CA",389792.0,34.1962,-119.1819
17467,"Augusta, GA",389383.0,33.3645,-82.0708
10109,"Scranton, PA",389022.0,41.4044,-75.6649
19916,"Boise, ID",385218.0,43.6007,-116.2312
12926,"Modesto, CA",381398.0,37.6374,-121.0028
2116,"Kissimmee, FL",374231.0,28.3042,-81.4164
21828,"Youngstown, OH",373728.0,41.0993,-80.6463
12377,"Aurora, CO",366623.0,39.7084,-104.7274
14098,"Anaheim, CA",352497.0,33.839,-117.8573
13039,"Lancaster, CA",349218.0,34.6934,-118.1753
13071,"Victorville, CA",346948.0,34.5277,-117.3536
2097,"Pensacola, FL",344400.0,30.4427,-87.1886
15317,"Fayetteville, AR",341890.0,36.0713,-94.166
27111,"San Juan, PR",341657.0,18.4037,-66.0636
4868,"Corpus Christi, TX",341435.0,27.7261,-97.3755
26692,"Jackson, MS",338185.0,32.3163,-90.2124
7383,"Greensboro, NC",335588.0,36.0956,-79.8268
25073,"Flint, MI",335354.0,43.0235,-83.6922
13037,"Santa Ana, CA",334136.0,33.7366,-117.8819
17806,"Fort Wayne, IN",328564.0,41.0885,-85.1436
24893,"Ann Arbor, MI",326288.0,42.2755,-83.7312
7223,"Fayetteville, NC",324700.0,35.0846,-78.9776
14149,"Santa Rosa, CA",321908.0,38.4458,-122.7067
25114,"Lansing, MI",320928.0,42.7142,-84.5601
14684,"Mobile, AL",318084.0,30.6782,-88.1163
27657,"Lexington, KY",315939.0,38.0423,-84.4587
14867,"Huntsville, AL",309716.0,34.6988,-86.6412
14113,"Santa Clarita, CA",309378.0,34.4155,-118.4992
7074,"Asheville, NC",309250.0,35.5704,-82.5537
24002,"St. Paul, MN",306621.0,44.9477,-93.104
12817,"Fort Collins, CO",303184.0,40.5475,-105.0651
13695,"Antioch, CA",302885.0,37.9789,-121.7957
11661,"Henderson, NV",302539.0,36.0146,-115.0362
3174,"Trenton, NJ",296869.0,40.2236,-74.7641
2926,"Lakeland, FL",291281.0,28.0557,-81.9545
6237,"Shreveport, LA",287432.0,32.4659,-93.7959
18991,"Davenport, IA",287413.0,41.5563,-90.6052
23258,"Springfield, MO",287222.0,37.1943,-93.2915
5133,"Plano, TX",286143.0,33.0502,-96.7487
15578,"Rockford, IL",285562.0,42.2598,-89.0641
3314,"Newark, NJ",285154.0,40.7245,-74.1725
8274,"Lincoln, NE",285118.0,40.8088,-96.6796
15560,"Round Lake Beach, IL",284607.0,42.379,-88.0811
17789,"South Bend, IN",281100.0,41.6771,-86.2692
17475,"Savannah, GA",280082.0,32.0281,-81.1785
13359,"Irvine, CA",277453.0,33.6772,-117.7738
21842,"Canton, OH",271184.0,40.8076,-81.3678
3295,"Jersey City, NJ",270753.0,40.7161,-74.0683
13630,"Chula Vista, CA",270471.0,32.6281,-117.0145
28146,"Eugene, OR",267568.0,44.0563,-123.1173
10939,"Reading, PA",267300.0,40.34,-75.9267
6201,"Lafayette, LA",265746.0,30.2084,-92.0323
2197,"St. Petersburg, FL",263255.0,27.793,-82.6652
4689,"Lubbock, TX",262505.0,33.5642,-101.8871
16672,"Peoria, IL",262010.0,40.7521,-89.6155
27558,"Myrtle Beach, SC",260487.0,33.7096,-78.8842
5820,"Laredo, TX",260244.0,27.5617,-99.4874
28317,"Salem, OR",259816.0,44.9232,-123.0245
17000,"Columbus, GA",259160.0,32.51,-84.8771
14440,"Montgomery, AL",255908.0,32.3473,-86.2666
19625,"Chandler, AZ",253458.0,33.2827,-111.8517
6624,"Anchorage, AK",253421.0,61.1508,-149.1091
2524,"Tallahassee, FL",253030.0,30.4551,-84.2527
6727,"Concord, NC",250186.0,35.3932,-80.6363
19353,"Scottsdale, AZ",249950.0,33.6872,-111.8651
4705,"Killeen, TX",247489.0,31.0755,-97.7297
19734,"Glendale, AZ",246709.0,33.5797,-112.2258
7017,"Wilmington, NC",245910.0,34.2101,-77.886
2451,"Winter Haven, FL",245237.0,28.0118,-81.7017
12081,"Norfolk, VA",244703.0,36.8945,-76.259
11663,"North Las Vegas, NV",242975.0,36.288,-115.0901
19374,"Gilbert, AZ",242354.0,33.3103,-111.7463
3361,"Atlantic City, NJ",241363.0,39.3797,-74.4527
19267,"Barnstable Town, MA",241132.0,41.6722,-70.3599
11876,"Chesapeake, VA",240397.0,36.6778,-76.3024
4444,"Irving, TX",240373.0,32.8584,-96.9702
2488,"Hialeah, FL",239673.0,25.8696,-80.3046
4581,"Garland, TX",238002.0,32.91,-96.6305
4221,"McKinney, TX",235134.0,33.2016,-96.6669
13855,"Fremont, CA",234962.0,37.5265,-121.9852
14204,"Visalia, CA",234573.0,36.3276,-119.3269
11561,"York, PA",234245.0,39.9651,-76.7315
494,"Kennewick, WA",232915.0,46.1979,-119.1732
18072,"Evansville, IN",232285.0,37.9881,-87.5341
11695,"Paradise, NV",231858.0,36.0807,-115.1369
3166,"Nashua, NH",231262.0,42.7491,-71.491
12126,"Arlington, VA",229534.0,38.8786,-77.1011
4201,"Brownsville, TX",227883.0,25.998,-97.4565
909,"Appleton, WI",222222.0,44.2774,-88.3894
26618,"Gulfport, MS",221348.0,30.4271,-89.0703
14135,"Thousand Oaks, CA",218729.0,34.1914,-118.8755
19334,"Avondale, AZ",217192.0,33.3858,-112.3236
13786,"San Bernardino, CA",216995.0,34.1417,-117.2945
414,"Bremerton, WA",216480.0,47.5436,-122.7121
12088,"Roanoke, VA",216177.0,37.2785,-79.958
6912,"Hickory, NC",215353.0,35.7426,-81.323
25295,"Kalamazoo, MI",214083.0,42.2749,-85.5882
419,"Tacoma, WA",213418.0,47.2431,-122.4531
13778,"Fontana, CA",211815.0,34.0968,-117.4599
961,"Green Bay, WI",208625.0,44.515,-87.9896
4239,"College Station, TX",207308.0,30.5852,-96.296
13862,"Moreno Valley, CA",207226.0,33.9244,-117.2045
4497,"Amarillo, TX",206072.0,35.1989,-101.831
20147,"Portland, ME",206023.0,43.6773,-70.2715
7546,"Fargo, ND",204820.0,46.8653,-96.8292
13570,"Santa Barbara, CA",204034.0,34.4285,-119.7202
20042,"Norwich, CT",203916.0,41.5495,-72.0882
14147,"Glendale, CA",203054.0,34.1818,-118.2468
9501,"Yonkers, NY",202019.0,40.9466,-73.8674
13349,"Huntington Beach, CA",201874.0,33.696,-118.0025
15532,"Aurora, IL",200965.0,41.7637,-88.2901
2686,"Gainesville, FL",199695.0,29.6804,-82.3458
164,"Olympia, WA",196078.0,47.0417,-122.8959
2386,"North Port, FL",195992.0,27.0577,-82.1975
11710,"Spring Valley, NV",195646.0,36.0987,-115.2619
1798,"Huntington, WV",194155.0,38.4109,-82.4344
2544,"Deltona, FL",194061.0,28.905,-81.2136
11747,"Sunrise Manor, NV",193854.0,36.1785,-115.049
4673,"Grand Prairie, TX",193837.0,32.687,-97.0209
13493,"Salinas, CA",193590.0,36.6884,-121.6317
20074,"Waterbury, CT",191484.0,41.5583,-73.0361
26090,"Overland Park, KS",191278.0,38.887,-94.687
5814,"Waco, TX",188448.0,31.5597,-97.1882
10771,"Erie, PA",188079.0,42.1168,-80.0733
18468,"Cedar Rapids, IA",186160.0,41.9667,-91.6781
20521,"Hagerstown, MD",185704.0,39.6402,-77.7217
19701,"Tempe, AZ",185038.0,33.3881,-111.9318
27503,"Spartanburg, SC",183184.0,34.9437,-81.9256
8463,"Clarksville, TN",182849.0,36.5696,-87.3428
7368,"Gastonia, NC",180974.0,35.2494,-81.1853
21959,"Lorain, OH",180239.0,41.4409,-82.184
28664,"Sioux Falls, SD",180204.0,43.5397,-96.7321
2838,"Fort Lauderdale, FL",180072.0,26.1412,-80.1464
11974,"Newport News, VA",179388.0,37.1051,-76.5185
6696,"High Point, NC",177874.0,35.9905,-79.9937
13972,"Santa Cruz, CA",177556.0,36.9789,-122.0346
13020,"Rancho Cucamonga, CA",177452.0,34.1248,-117.5666
5248,"Frisco, TX",177286.0,33.1554,-96.8217
20105,"Danbury, CT",177177.0,41.4016,-73.471
14021,"Hemet, CA",176892.0,33.7341,-116.9969
13454,"Oceanside, CA",176193.0,33.2247,-117.3083
13894,"Ontario, CA",175841.0,34.0393,-117.6064
186,"Vancouver, WA",175673.0,45.6367,-122.597
13854,"Garden Grove, CA",174226.0,33.7787,-117.9601
19904,"Nampa, ID",173863.0,43.5843,-116.5628
12843,"Vallejo, CA",173844.0,38.1133,-122.2359
13353,"Elk Grove, CA",171844.0,38.416,-121.384
2602,"Pembroke Pines, FL",170712.0,26.0128,-80.3382
27048,"Bayamón, PR",170245.0,18.3793,-66.1635
28359,"Medford, OR",168219.0,42.3372,-122.8537
19708,"Peoria, AZ",168181.0,33.7844,-112.299
13295,"Corona, CA",167836.0,33.862,-117.5641
8560,"Murfreesboro, TN",167055.0,35.8493,-86.4117
230,"Marysville, WA",166541.0,48.081,-122.1558
6917,"Cary, NC",165904.0,35.7817,-78.8175
12199,"Fredericksburg, VA",164976.0,38.2992,-77.4872
2385,"Ocala, FL",164712.0,29.178,-82.1511
3157,"Manchester, NH",160742.0,42.9848,-71.4447
13498,"Hayward, CA",160500.0,37.6328,-122.0772
25038,"Muskegon, MI",160142.0,43.2281,-86.2562
12090,"Alexandria, VA",160035.0,38.8185,-77.0861
15928,"Springfield, IL",159394.0,39.771,-89.6537
18005,"Lafayette, IN",159293.0,40.399,-86.8593
4895,"Port Arthur, TX",157934.0,29.8554,-93.9264
13515,"Palmdale, CA",157519.0,34.5944,-118.1057
15692,"Champaign, IL",156794.0,40.1144,-88.2735
17350,"Gainesville, GA",156248.0,34.2902,-83.8303
11681,"Enterprise, NV",155773.0,36.0163,-115.2207
20583,"Frederick, MD",154972.0,39.4336,-77.4157
12602,"Lakewood, CO",154958.0,39.6977,-105.1168
14524,"Tuscaloosa, AL",154204.0,33.2348,-87.5266
13468,"Sunnyvale, CA",153656.0,37.3836,-122.0257
6254,"Lake Charles, LA",153633.0,30.2022,-93.2141
2112,"Hollywood, FL",153627.0,26.0294,-80.1679
4573,"Pasadena, TX",153520.0,29.6584,-95.1499
14054,"Pomona, CA",152939.0,34.0585,-117.7626
25679,"Kansas City, KS",152938.0,39.1234,-94.7443
17091,"Macon, GA",152663.0,32.8065,-83.6974
13436,"Escondido, CA",151969.0,33.1347,-117.0723
9319,"Binghamton, NY",150747.0,42.1014,-75.9093
17426,"Warner Robins, GA",149617.0,32.5975,-83.6526
19249,"New Bedford, MA",149528.0,41.6697,-70.9428
25960,"Topeka, KS",148960.0,39.0346,-95.6955
4714,"Beaumont, TX",148954.0,30.085,-94.1451
